Day fraction since midnight on 11/4/2019	Pressure Sensor (volts)	Influent Turbidity (NTU)	Effluent Turbidity (NTU)	PumpControl(Clay) ()	PAC Flow Rate (mL/s)	CoagMass ()	drain control ()	coagulant pump ()	clay pump ()	waste pump ()
0.65096671	-999.00000000	-999.00000000	0.34976693	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65097824	-999.00000000	-999.00000000	0.35645797	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65098976	-999.00000000	-999.00000000	0.35872751	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65100127	-999.00000000	-999.00000000	0.36637953	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65101280	-999.00000000	-999.00000000	0.37108728	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65102431	-999.00000000	-999.00000000	0.37578993	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65103584	-999.00000000	-999.00000000	0.38051812	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65104736	-999.00000000	-999.00000000	0.38639132	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65105887	-999.00000000	-999.00000000	0.39052146	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65107040	-999.00000000	-999.00000000	0.39631287	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65108192	-999.00000000	-999.00000000	0.40197648	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65109344	-999.00000000	-999.00000000	0.40668425	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65110496	-999.00000000	-999.00000000	0.41139200	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65111647	-999.00000000	-999.00000000	0.41382510	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65112800	-999.00000000	-999.00000000	0.42284702	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65113954	-999.00000000	-999.00000000	0.42634845	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.65115104	-999.00000000	-999.00000000	0.43107152	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
