Day fraction since midnight on 10/26/2019	Influent Turbidity (NTU)	Effluent Turbidity (NTU)	PumpControl(Clay) ()	PAC Flow Rate (mL/s)	CoagMass ()	drain control ()	coagulant pump ()	clay pump ()	waste pump ()
0.44578444	0.58707970	-999.00000000	0.55288306	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44584231	0.58543968	-999.00000000	0.57892475	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44590018	0.59076828	-999.00000000	0.60488428	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44595805	0.58845317	-999.00000000	0.63092598	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44601592	0.58543158	-999.00000000	0.65692658	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44607379	0.58260095	-999.00000000	0.68298882	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44613167	0.57627690	-999.00000000	0.70900998	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44618954	0.58049828	-999.00000000	0.73501573	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44624741	0.57918006	-999.00000000	0.75864891	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44630527	0.57221216	-999.00000000	0.78469574	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44636314	0.58220857	-999.00000000	0.81073744	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44642101	0.58269936	-999.00000000	0.83684076	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44647888	0.57635391	-999.00000000	0.86314949	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44653675	0.58019090	-999.00000000	0.88956094	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44659462	0.58189029	-999.00000000	0.91465772	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44665249	0.57722080	-999.00000000	0.94067887	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44671037	0.57433701	-999.00000000	0.96672057	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44676824	0.57623827	-999.00000000	0.99095460	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44682611	0.57888103	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44688398	0.58234417	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44694185	0.58299071	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44699972	0.58841056	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44705759	0.58732718	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44711546	0.58529651	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44717333	0.58402020	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44723119	0.58318156	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44728906	0.59063131	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44734694	0.58412129	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44740481	0.57496482	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44746268	0.57323074	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44752055	0.57979566	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44757843	0.57492399	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44763629	0.58326960	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44769416	0.57606405	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44775203	0.56717753	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44780990	0.56623340	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44786777	0.57668525	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44792564	0.58176666	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44798352	0.58253044	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44804139	0.58295912	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44809926	0.59330058	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44815714	0.58607107	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44821492	0.57505399	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44827267	0.56547445	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44833044	0.55806094	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44838820	0.55283314	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44844596	0.54838437	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44850372	0.54606205	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44856149	0.54492545	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44861926	0.57801890	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44867703	0.57812977	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
0.44873479	0.58330745	-999.00000000	1.00000000	0.00363188	-999999.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
